"GENRE","COUNT"
"Documentary","1007735"
"Short","1153539"
"Animation","533288"
"Comedy","2101723"
"Romance","986923"
"Sport","252530"
"News","946488"
"Drama","3008043"
"Fantasy","214384"
"Horror","189328"
"Biography","114574"
"Music","398942"
"War","40824"
"Crime","442033"
"Western","30421"
"Family","783590"
"Adventure","414907"
"Action","433931"
"History","156127"
"Mystery","214119"
"\N","470323"
"Sci-Fi","113957"
"Musical","90048"
"Thriller","175060"
"Film-Noir","882"
"Talk-Show","1299441"
"Game-Show","385627"
"Reality-TV","597935"
"Adult","331214"
